MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEP_DELAY,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,31,1/31/20,"Dallas, TX",TX,Texas,"Fort Myers, FL",FL,Florida,34,34,0,,3,0,0,0,31
1,23,1/23/20,"Dallas/Fort Worth, TX",TX,Texas,"Garden City, KS",KS,Kansas,3,3,0,,3,0,15,0,0
1,4,1/4/20,"Duluth, MN",MN,Minnesota,"Chicago, IL",IL,Illinois,109,109,0,,3,0,0,0,89
1,10,1/10/20,"Dallas/Fort Worth, TX",TX,Texas,"Brownsville, TX",TX,Texas,7,7,0,,3,0,9,0,4
1,30,1/30/20,"Dallas/Fort Worth, TX",TX,Texas,"Brownsville, TX",TX,Texas,17,17,0,,3,0,6,0,14
1,13,1/13/20,"Cedar Rapids/Iowa City, IA",IA,Iowa,"Chicago, IL",IL,Illinois,19,19,0,,3,0,0,0,14
1,19,1/19/20,"Cedar Rapids/Iowa City, IA",IA,Iowa,"Chicago, IL",IL,Illinois,29,29,0,,3,0,69,0,26
1,3,1/3/20,"Dallas/Fort Worth, TX",TX,Texas,"Lawton/Fort Sill, OK",OK,Oklahoma,12,12,0,,3,0,4,0,9
1,13,1/13/20,"Dallas/Fort Worth, TX",TX,Texas,"Colorado Springs, CO",CO,Colorado,25,25,0,,3,0,12,0,22
1,2,1/2/20,"Lexington, KY",KY,Kentucky,"Dallas/Fort Worth, TX",TX,Texas,5,5,0,,3,0,16,0,2
1,31,1/31/20,"Des Moines, IA",IA,Iowa,"Chicago, IL",IL,Illinois,55,55,0,,3,0,2,0,52
1,24,1/24/20,"Huntsville, AL",AL,Alabama,"Chicago, IL",IL,Illinois,88,88,0,,3,0,3,0,85
1,16,1/16/20,"Charlotte, NC",NC,North Carolina,"Flint, MI",MI,Michigan,66,66,0,,3,0,0,0,53
1,8,1/8/20,"Baton Rouge, LA",LA,Louisiana,"Dallas/Fort Worth, TX",TX,Texas,37,37,0,,3,0,0,0,25
1,2,1/2/20,"Miami, FL",FL,Florida,"Jacksonville, FL",FL,Florida,32,32,0,,3,0,0,0,18
1,22,1/22/20,"Baton Rouge, LA",LA,Louisiana,"Dallas/Fort Worth, TX",TX,Texas,33,33,0,,3,0,10,0,30
1,3,1/3/20,"Monroe, LA",LA,Louisiana,"Dallas/Fort Worth, TX",TX,Texas,84,84,0,,3,0,0,0,76
1,3,1/3/20,"Kapalua, HI",HI,Hawaii,"Honolulu, HI",HI,Hawaii,26,26,0,,3,30,0,0,23
1,4,1/4/20,"Hoolehua, HI",HI,Hawaii,"Honolulu, HI",HI,Hawaii,151,151,0,,3,0,0,0,145
1,28,1/28/20,"Hoolehua, HI",HI,Hawaii,"Honolulu, HI",HI,Hawaii,8,8,0,,3,0,7,0,5
1,3,1/3/20,"Hoolehua, HI",HI,Hawaii,"Honolulu, HI",HI,Hawaii,83,83,0,,3,0,0,0,78
1,3,1/3/20,"Cincinnati, OH",KY,Kentucky,"Charlotte, NC",NC,North Carolina,35,35,0,,3,0,10,0,32
1,31,1/31/20,"Asheville, NC",NC,North Carolina,"Charlotte, NC",NC,North Carolina,7,7,0,,3,0,17,0,4
1,28,1/28/20,"Dayton, OH",OH,Ohio,"Washington, DC",VA,Virginia,15,15,0,,3,0,19,0,12
1,6,1/6/20,"Washington, DC",VA,Virginia,"Manchester, NH",NH,New Hampshire,3,3,0,,3,0,32,0,0
1,24,1/24/20,"Sarasota/Bradenton, FL",FL,Florida,"Charlotte, NC",NC,North Carolina,35,35,0,,3,0,9,0,32
1,12,1/12/20,"Washington, DC",VA,Virginia,"Knoxville, TN",TN,Tennessee,64,64,0,,3,0,0,0,53
